เดือน,จังหวัด, อัตราการเข้าพักปี 2567 , อัตราการเข้าพักปี 2566 ,%การเปลี่ยนแปลง, จำนวนผู้เข้าพักปี 2567 (คน)  , จำนวนผู้เข้าพักปี 2566 (คน) ,%การเปลี่ยนแปลง, จำนวนผู้เยี่ยมเยือนทั้งหมดปี 2567 (คน) , จำนวนผู้เยี่ยมเยือนทั้งหมดปี 2566 (คน) ,%การเปลี่ยนแปลง, จำนวนผู้เยี่ยมเยือนคนไทยปี 2567 (คน) , จำนวนผู้เยี่ยมเยือนคนไทยปี 2566 (คน) ,%การเปลี่ยนแปลง, จำนวนผู้เยี่ยมเยือนชาวต่างชาติปี 2567 (คน) , จำนวนผู้เยี่ยมเยือนชาวต่างชาติปี 2566 (คน) ,%การเปลี่ยนแปลง, รายได้จากผู้เยี่ยมเยือนปี 2567 (ล้านบาท) , รายได้จากผู้เยี่ยมเยือนปี 2566 (ล้านบาท) ,%การเปลี่ยนแปลง, รายได้จากผู้เยี่ยมเยือนคนไทยปี 2567 (ล้านบาท) , รายได้จากผู้เยี่ยมเยือนคนไทยปี 2566 (ล้านบาท) ,%การเปลี่ยนแปลง, รายได้จากผู้เยี่ยมเยือนชาวต่างชาติปี 2567 (ล้านบาท) , รายได้จากผู้เยี่ยมเยือนชาวต่างชาติปี 2566 (ล้านบาท) ,%การเปลี่ยนแปลง,จำนวนอุทยานแห่งชาติ,จำนวนสถานที่ท่องเที่ยว
มกราคม,กรุงเทพมหานคร,82.23,73.53,8.70,3067096,2480644,23.64,5097274,4440412,14.79,2665097,2487365,7.15,2432177,1953047,24.53,76337.80,62268.22,22.60,17970.96,15770.84,13.95,58366.84,46497.38,25.53,0,177
มกราคม,กาญจนบุรี,67.53,66.27,1.26,316317,322806,-2.01,1199148,1315070,-8.81,1162298,1297595,-10.43,36850,17475,110.87,2995.38,3322.70,-9.85,2834.84,3230.20,-12.24,160.54,92.50,73.56,6,95
มกราคม,นครปฐม,55.50,49.05,6.45,82542,75085,9.93,369365,276759,33.46,362572,272839,32.89,6793,3920,73.29,576.62,426.00,35.36,561.28,416.94,34.62,15.34,9.06,69.32,0,66
มกราคม,ประจวบศิรีขันธ์,77.28,78.37,-1.09,533748,538449,-0.87,1020388,1090646,-6.44,956131,1052215,-9.13,64257,38431,67.20,4797.81,3852.55,24.54,4121.76,3471.16,18.74,676.05,381.39,77.26,4,64
มกราคม,เพชรบุรี,76.16,68.87,7.29,384011,360976,6.38,985163,948650,3.85,961492,936874,2.63,23671,11776,101.01,3208.58,2590.34,23.87,3059.76,2532.55,20.82,148.82,57.79,157.52,1,58
มกราคม,ราชบุรี,61.85,62.45,-0.60,103976,104756,-0.74,253383,222994,13.63,240056,211674,13.41,13327,11320,17.73,512.09,398.11,28.63,481.97,375.07,28.50,30.12,23.04,30.73,1,71
มกราคม,สมุทรปราการ,55.20,49.88,5.32,106774,97488,9.53,380582,293151,29.82,295646,222257,33.02,84936,70894,19.81,746.48,567.58,31.52,477.86,350.13,36.48,268.62,217.45,23.53,0,41
มกราคม,สมุทรสงคราม,60.72,59.81,0.91,76532,75621,1.20,554587,609898,-9.07,543227,598645,-9.26,11360,11253,0.95,705.54,673.36,4.78,686.17,655.47,4.68,19.37,17.89,8.27,0,39
มกราคม,สมุทรสาคร,45.42,44.57,0.85,30630,30410,0.72,148345,95707,55.00,147146,94580,55.58,1199,1127,6.39,243.97,156.56,55.83,241.43,154.31,56.46,2.54,2.25,12.89,0,36
มกราคม,ชัยนาท,51.33,42.52,8.81,21324,18595,14.68,97270,73713,31.96,96700,73130,32.23,570,583,-2.23,149.29,107.65,38.68,148.18,106.75,38.81,1.11,0.90,23.33,0,36
มกราคม,นนทบุรี,57.81,53.10,4.71,102843,88608,16.07,350089,315004,11.14,331048,299556,10.51,19041,15448,23.26,578.71,515.85,12.19,529.03,476.35,11.06,49.68,39.50,25.77,0,76
มกราคม,ปทุมธานี,56.37,41.49,14.88,70078,54982,27.46,284701,211029,34.91,258842,192477,34.48,25859,18552,39.39,449.27,315.49,42.40,395.37,281.30,40.55,53.90,34.19,57.65,0,57
มกราคม,พระนครศรีอยุธยา,60.21,62.66,-2.45,86361,88788,-2.73,964234,883433,9.15,789999,770049,2.59,174235,113384,53.67,1947.78,1565.82,24.39,1529.74,1320.75,15.82,418.04,245.07,70.58,0,84
มกราคม,ลพบุรี,58.73,60.19,-1.46,75586,77416,-2.36,383133,398057,-3.75,380787,396249,-3.90,2346,1808,29.76,660.37,594.19,11.14,655.45,591.10,10.89,4.92,3.09,59.22,0,47
มกราคม,สระบุรี,63.79,62.34,1.45,89850,85007,5.70,417446,378123,10.40,410596,374705,9.58,6850,3418,100.41,764.86,641.63,19.21,751.85,635.55,18.30,13.01,6.08,113.98,2,50
มกราคม,สิงห์บุรี,59.12,41.74,17.38,20288,14786,37.21,70868,54548,29.92,70167,53906,30.17,701,642,9.19,120.08,82.34,45.83,118.93,81.40,46.11,1.15,0.94,22.34,0,36
มกราคม,สุพรรณบุรี,68.92,66.25,2.67,92936,108515,-14.36,539935,547710,-1.42,535465,543482,-1.48,4470,4228,5.72,957.28,880.02,8.78,947.14,870.96,8.75,10.14,9.06,11.92,1,62
มกราคม,อ่างทอง,52.07,44.93,7.14,13190,10776,22.40,93654,72264,29.60,92826,71620,29.61,828,644,28.57,128.52,87.35,47.13,127.26,86.43,47.24,1.26,0.92,36.96,0,58
มกราคม,จันทบุรี,57.92,56.59,1.33,108017,100122,7.89,258175,315099,-18.07,255184,312656,-18.38,2991,2443,22.43,1015.75,999.07,1.67,1000.93,987.25,1.39,14.82,11.82,25.38,3,53
มกราคม,ฉะเชิงเทรา,47.98,42.48,5.50,37136,31786,16.83,542407,473867,14.46,540838,472608,14.44,1569,1259,24.62,683.28,550.12,24.21,680.08,548.17,24.06,3.20,1.95,64.10,0,48
มกราคม,ชลบุรี,84.47,71.87,12.60,1579880,1391879,13.51,2163066,2135864,1.27,1143640,1388394,-17.63,1019426,747470,36.38,28931.90,23573.74,22.73,7019.43,7872.94,-10.84,21912.47,15700.80,39.56,0,103
มกราคม,ตราด,55.73,55.28,0.45,167797,142421,17.82,196194,166202,18.05,159374,149768,6.41,36820,16434,124.05,1516.17,1187.02,27.73,1002.11,960.95,4.28,514.06,226.07,127.39,3,60
มกราคม,นครนายก,68.01,58.93,9.08,125245,91498,36.88,256893,136815,87.77,255661,135724,88.37,1232,1091,12.92,689.28,439.06,56.99,684.34,434.89,57.36,4.94,4.17,18.47,0,53
มกราคม,ปราจีนบุรี,51.98,46.91,5.07,70954,62064,14.32,124165,103479,19.99,123209,102838,19.81,956,641,49.14,368.02,306.77,19.97,364.68,304.72,19.68,3.34,2.05,62.93,1,39
มกราคม,ระยอง,73.12,67.43,5.69,284560,251728,13.04,463534,413199,12.18,394523,381436,3.43,69011,31763,117.27,2155.90,1641.94,31.30,1670.74,1427.33,17.05,485.16,214.61,126.07,0,77
มกราคม,สระแก้ว,55.36,48.39,6.97,49134,43633,12.61,133841,107332,24.70,129231,105912,22.02,4610,1420,224.65,414.77,349.98,18.51,400.55,343.80,16.51,14.22,6.18,130.10,0,54
มกราคม,กระบี่,65.03,59.31,5.72,272251,201261,35.27,502358,310397,61.84,243105,165508,46.88,259253,144889,78.93,7491.73,4693.80,59.61,2366.94,2123.03,11.49,5124.79,2570.77,99.35,1,61
มกราคม,ชุมพร,64.01,56.42,7.59,117353,92733,26.55,163639,121224,34.99,157736,120288,31.13,5903,936,530.66,639.12,455.13,40.43,623.43,451.33,38.13,15.69,3.80,312.89,1,79
มกราคม,นครศรีธรรมราช,70.49,60.51,9.98,201691,161130,25.17,353580,265290,33.28,347927,264006,31.79,5653,1284,340.26,1330.92,914.90,45.47,1307.04,908.43,43.88,23.88,6.47,269.09,1,79
มกราคม,พังงา,70.72,59.54,11.18,114738,97674,17.47,338563,262474,28.99,145773,129409,12.65,192790,133065,44.88,4437.81,3419.30,29.79,1251.26,1126.10,11.11,3186.55,2293.20,38.96,3,63
มกราคม,ภูเก็ต,79.97,77.31,2.66,1033039,829916,24.48,1213907,985536,23.17,287306,313221,-8.27,926601,672315,37.82,47181.35,35079.46,34.50,2817.32,3170.01,-11.13,44364.03,31909.45,39.03,0,78
มกราคม,ระนอง,57.28,50.45,6.83,51374,39336,30.60,69010,52355,31.81,67521,51536,31.02,1489,819,81.81,255.19,189.54,34.64,247.66,184.43,34.28,7.53,5.11,47.36,4,58
มกราคม,สุราษฎร์ธานี,80.10,68.57,11.53,543759,439858,23.62,707114,545042,29.74,341004,247905,37.55,366110,297137,23.21,11694.96,10043.91,16.44,2479.51,1970.06,25.86,9215.45,8073.85,14.14,4,80
มกราคม,ตรัง,64.13,48.80,15.33,80730,70045,15.25,139393,109230,27.61,129290,100646,28.46,10103,8584,17.70,635.46,517.64,22.76,556.30,443.47,25.44,79.16,74.17,6.73,0,49
มกราคม,นราธิวาส,61.35,49.90,11.45,48472,32991,46.92,105720,69983,51.07,45502,28745,58.30,60218,41238,46.03,362.46,247.62,46.38,134.08,85.10,57.56,228.38,162.52,40.52,0,33
