,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนนักท่องเที่ยว ปี 2566P,,,,,,,,,,,,,,จำนวนนักท่องเที่ยว ปี 2565P,,,,,,,,,,,,,,%การเปลี่ยนแปลง,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of,2023p,,,,,,,,,,,,,Country of,2022p,,,,,,,,,,,,,Country of,%CHANG,,,,,,,,,,,,
Nationality,Jan,Feb,Mar R,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
Asia and the Pacific,"1,281,532","1,277,199","1,506,054","1,615,515","1,595,745","1,805,515","1,884,948","1,918,315","1,687,354","1,613,854","1,773,401","2,218,326","20,177,758",Asia and the Pacific,"24,700","36,024","74,990","135,516","341,651","564,670","818,517","875,329","974,857","1,062,452","1,115,258","1,448,342","7,472,306",Asia and the Pacific,"+5,088.39","+3,445.41","+1,840.74","+1,092.12",+367.07,+219.75,+130.29,+119.15,+73.09,51.90 ,59.01 ,53.16 ,170.03 
South-East Asia,"664,990","631,430","746,297","793,741","805,437","912,273","852,955","910,185","822,499","766,137","853,406","1,062,930","9,822,280",South-East Asia,"9,476","15,365","29,579","55,637","184,164","339,570","526,810","558,006","652,820","684,682","666,048","866,123","4,588,280",South-East Asia,"+6,917.62","+4,009.53","+2,251.68","+1,326.64",+337.35,+168.66,+61.91,+63.11,+25.99,11.90 ,28.13 ,22.72 ,114.07 
Brunei,748,848,754,935,"1,065","1,005","1,198","1,551",988,984,"1,426","2,632","14,134",Brunei,3,3,54,26,159,284,536,564,690,649,997,"1,829","5,794",Brunei,"+24,833.33","+28,166.67","+1,296.30","+3,496.15",+569.81,+253.87,+123.51,+175.00,+43.19,51.62 ,43.03 ,43.90 ,143.94 
Cambodia,"46,235","41,791","45,202","45,687","51,160","47,414","47,878","56,265","48,352","47,590","52,138","53,996","583,708",Cambodia,562,"1,651","2,527","4,995","23,106","42,000","64,814","62,955","62,521","57,958","69,157","71,895","464,141",Cambodia,"+8,126.87","+2,431.25","+1,660.82",+814.65,+121.41,+12.89,-26.13,-10.63,-22.66,(17.89),(24.61),(24.90),25.76 
Indonesia,"45,410","46,915","53,067","63,952","62,203","72,061","71,526","63,152","65,709","64,554","71,481","82,088","762,118",Indonesia,322,512,"1,459","3,147","9,027","13,236","17,901","24,678","30,346","35,064","44,750","51,305","231,747",Indonesia,"+14,002.48","+9,063.09","+3,537.22","+1,932.16",+589.08,+444.43,+299.56,+155.90,+116.53,84.10 ,59.73 ,60.00 ,228.86 
Laos,"85,353","56,042","58,222","67,930","77,328","78,382","83,014","84,275","78,996","82,985","78,147","88,727","919,401",Laos,708,890,"1,177","1,931","15,345","30,414","62,690","71,193","70,560","77,942","76,558","77,807","487,215",Laos,"+11,955.51","+6,196.85","+3,585.22","+3,417.87",+403.93,+157.72,+32.42,+18.38,+11.96,6.47 ,2.08 ,14.03 ,88.71 
Malaysia,"288,745","305,367","362,070","401,394","373,922","408,356","371,200","438,556","388,197","348,403","392,969","547,243","4,626,422",Malaysia,"4,632","5,108","8,293","14,032","62,897","126,150","223,759","223,712","312,018","323,094","247,543","398,292","1,949,530",Malaysia,"+6,133.70","+5,878.21","+3,842.24","+2,760.56",+494.50,+223.71,+65.89,+96.04,+24.41,7.83 ,58.75 ,37.40 ,137.31 
Myanmar,"30,764","22,405","27,478","33,737","32,369","33,063","34,698","32,666","32,124","34,579","34,206","46,045","394,134",Myanmar,"1,448","1,721","3,375","5,179","10,861","16,772","25,254","25,062","24,294","27,197","29,827","40,935","211,925",Myanmar,"+2,024.59","+1,201.86",+714.16,+551.42,+198.03,+97.13,+37.40,+30.34,+32.23,27.14 ,14.68 ,12.48 ,85.98 
Philippines,"27,440","27,540","33,678","32,915","35,865","46,115","46,350","43,784","38,775","40,895","43,514","44,380","461,251",Philippines,530,"1,118","2,190","3,480","6,441","10,524","15,369","18,196","20,184","27,081","31,078","32,779","168,970",Philippines,"+5,077.36","+2,363.33","+1,437.81",+845.83,+456.82,+338.19,+201.58,+140.62,+92.11,51.01 ,40.02 ,35.39 ,172.98 
Singapore,"69,106","60,792","83,250","62,845","79,864","115,636","75,307","76,697","87,296","78,386","109,508","128,737","1,027,424",Singapore,869,"2,825","7,699","17,707","37,708","59,742","56,146","58,360","69,394","67,548","100,688","131,483","610,169",Singapore,"+7,852.36","+2,051.93",+981.31,+254.92,+111.80,+93.56,+34.13,+31.42,+25.80,16.04 ,8.76 ,(2.09),68.38 
Vietnam,"71,189","69,730","82,576","84,346","91,661","110,241","121,784","113,239","82,062","67,761","70,017","69,082","1,033,688",Vietnam,402,"1,537","2,805","5,140","18,620","40,448","60,341","73,286","62,813","68,149","65,450","59,798","458,789",Vietnam,"+17,608.71","+4,436.76","+2,843.89","+1,540.97",+392.27,+172.55,+101.83,+54.52,+30.64,(0.57),6.98 ,15.53 ,125.31 
North-East Asia,"422,938","468,121","551,202","598,386","557,118","641,800","796,108","785,052","624,747","603,770","672,766","855,642","7,577,650",North-East Asia,"9,179","10,412","16,019","30,707","46,620","68,455","124,256","148,048","141,201","181,111","233,058","328,689","1,337,755",North-East Asia,"+4,507.67","+4,395.98","+3,340.93","+1,848.70","+1,095.02",+837.55,+540.70,+430.27,+342.45,233.37 ,188.67 ,160.32 ,466.45 
China,"91,841","155,656","269,773","328,414","285,547","311,888","410,311","355,146","284,989","291,323","310,266","425,941","3,521,095",China,"2,657","4,012","4,834","7,977","14,010","18,986","25,561","27,823","30,250","33,128","35,202","54,146","258,586",China,"+3,356.57","+3,779.76","+5,480.74","+4,017.01","+1,938.17","+1,542.73","+1,505.22","+1,176.45",+842.11,779.39 ,781.39 ,686.65 ,"1,261.67 "
Hong Kong (China),"59,816","41,967","55,432","67,897","59,242","76,006","93,907","100,437","61,274","57,917","57,192","71,281","802,368",Hong Kong (China),279,747,"1,631","2,035","3,009","4,294","6,105","7,450","9,387","26,041","39,007","57,191","157,176",Hong Kong (China),"+21,339.43","+5,518.07","+3,298.65","+3,236.46","+1,868.83","+1,670.05","+1,438.20","+1,248.15",+552.75,122.41 ,46.62 ,24.64 ,410.49 
Japan,"46,336","65,451","60,489","45,258","53,744","55,763","66,164","101,847","80,010","58,205","87,230","85,271","805,768",Japan,"2,348","2,127","4,676","11,163","11,807","16,805","28,231","39,002","35,745","36,994","45,880","53,564","288,342",Japan,"+1,873.42","+2,977.15","+1,193.61",+305.43,+355.19,+231.82,+134.37,+161.13,+123.84,57.34 ,90.13 ,59.19 ,179.45 
Korea (Dem. People's Republic of),0,0,1,0,0,0,0,3,0,0,0,1,5,Korea (Dem. People's Republic of),0,0,0,0,0,0,1,0,0,0,0,1,2,Korea (Dem. People's Republic of),-,-,-,-,-,-,-100.00,-,-,#DIV/0!,#DIV/0!,0.00 ,150.00 
Korea (Republic of),"169,462","157,440","115,038","95,830","103,031","122,278","150,385","146,387","133,135","128,215","147,198","191,643","1,660,042",Korea (Republic of),"1,920","2,134","3,371","8,238","15,682","25,186","58,267","65,385","57,632","72,193","91,160","130,517","531,685",Korea (Republic of),"+8,726.15","+7,277.69","+3,312.58","+1,063.27",+557.00,+385.50,+158.10,+123.88,+131.01,77.60 ,61.47 ,46.83 ,212.22 
Macao (China),853,"1,420","2,194","3,467","3,549","4,167","6,137","7,323","3,279","2,591","2,384","3,528","40,892",Macao (China),2,24,25,43,71,81,129,187,188,210,206,348,"1,514",Macao (China),"+42,550.00","+5,816.67","+8,676.00","+7,962.79","+4,898.59","+5,044.44","+4,657.36","+3,816.04","+1,644.15","1,133.81 ","1,057.28 ",913.79 ,"2,600.92 "
Mongolia,"5,138","3,192","1,640",893,781,781,"1,217",714,760,734,"1,959","5,077","22,886",Mongolia,"1,805",988,774,257,263,356,494,494,442,545,970,"3,407","10,795",Mongolia,+184.65,+223.08,+111.89,+247.47,+196.96,+119.38,+146.36,+44.53,+71.95,34.68 ,101.96 ,49.02 ,112.01 
Taiwan Province of China,"49,492","42,995","46,635","56,627","51,224","70,917","67,987","73,195","61,300","64,785","66,537","72,900","724,594",Taiwan Province of China,168,380,708,994,"1,778","2,747","5,468","7,707","7,557","12,000","20,633","29,515","89,655",Taiwan Province of China,"+29,359.52","+11,214.47","+6,486.86","+5,596.88","+2,780.99","+2,481.62","+1,143.36",+849.72,+711.17,439.88 ,222.48 ,146.99 ,708.20 
South Asia,"130,381","127,299","150,855","156,364","174,951","184,898","164,199","162,260","175,253","176,472","179,748","216,110","1,998,790",South Asia,"2,237","5,272","20,436","30,975","90,490","127,764","127,628","133,559","139,606","148,345","166,581","185,244","1,178,137",South Asia,"+5,728.39","+2,314.62",+638.18,+404.81,+93.34,+44.72,+28.65,+21.49,+25.53,18.96 ,7.90 ,16.66 ,69.66 
Bangladesh,"10,724","9,760","10,843","10,212","10,853","10,694","13,624","12,524","12,408","13,521","10,602","14,892","140,657",Bangladesh,429,"1,520","3,610","2,170","6,254","5,985","9,092","8,913","10,200","9,596","8,646","12,333","78,748",Bangladesh,"+2,399.77",+542.11,+200.36,+370.60,+73.54,+78.68,+49.85,+40.51,+21.65,40.90 ,22.62 ,20.75 ,78.62 
Bhutan,"3,784","2,564","1,474","1,222","1,241","1,291","1,591","1,223","1,225","1,192","1,155","2,394","20,356",Bhutan,74,52,111,210,467,680,854,"1,127",873,"1,131","1,062","2,091","8,732",Bhutan,"+5,013.51","+4,830.77","+1,227.93",+481.90,+165.74,+89.85,+86.30,+8.52,+40.32,5.39 ,8.76 ,14.49 ,133.12 
India,"103,316","99,808","119,474","133,312","149,053","156,500","128,070","130,667","142,051","141,878","148,212","176,201","1,628,542",India,966,"1,945","11,241","25,978","76,598","111,772","104,270","111,366","114,495","124,546","143,576","153,528","980,281",India,"+10,595.24","+5,031.52",+962.84,+413.17,+94.59,+40.02,+22.83,+17.33,+24.07,13.92 ,3.23 ,14.77 ,66.13 
Iran,"2,173","2,475","7,698","3,063","2,637","3,451","3,760","4,706","5,848","5,440","5,442","4,883","51,576",Iran,234,313,"2,633",784,975,"1,453","1,087","1,701","3,335","2,265","2,403","2,620","19,803",Iran,+828.63,+690.73,+192.37,+290.69,+170.46,+137.51,+245.91,+176.66,+75.35,140.18 ,126.47 ,86.37 ,160.45 
Maldives,"1,452","1,757","1,665","1,105","1,829","2,973","4,287","1,743","1,403","2,357","1,942","3,072","25,585",Maldives,126,379,766,285,"1,500","1,287","3,539","1,451","1,454","1,766","1,340","2,889","16,782",Maldives,"+1,052.38",+363.59,+117.36,+287.72,+21.93,+131.00,+21.14,+20.12,-3.51,33.47 ,44.93 ,6.33 ,52.46 
Nepal,"1,957","2,403","2,241","2,387","2,301","2,445","2,906","2,566","2,944","3,774","2,999","3,129","32,052",Nepal,50,135,239,361,372,895,"1,779","1,928","1,854","2,086","1,094","2,040","12,833",Nepal,"+3,814.00","+1,680.00",+837.66,+561.22,+518.55,+173.18,+63.35,+33.09,+58.79,80.92 ,174.13 ,53.38 ,149.76 
Pakistan,"5,441","6,117","5,104","2,852","4,968","5,560","7,138","5,653","5,552","5,176","5,265","7,303","66,129",Pakistan,274,695,"1,426",690,"3,541","4,772","6,156","5,629","5,653","5,304","6,223","7,861","48,224",Pakistan,"+1,885.77",+780.14,+257.92,+313.33,+40.30,+16.51,+15.95,+0.43,-1.79,(2.41),(15.39),(7.10),37.13 
Sri Lanka,"1,534","2,415","2,356","2,211","2,069","1,984","2,823","3,178","3,822","3,134","4,131","4,236","33,893",Sri Lanka,84,233,410,497,783,920,851,"1,444","1,742","1,651","2,237","1,882","12,734",Sri Lanka,"+1,726.19",+936.48,+474.63,+344.87,+164.24,+115.65,+231.73,+120.08,+119.40,89.82 ,84.67 ,125.08 ,166.16 
Other in Asia,47,30,58,70,81,65,68,108,76,71,50,135,859,Other in Asia,2,4,31,9,23,6,44,40,44,38,39,70,350,Other in Asia,"+2,250.00",+650.00,+87.10,+677.78,+252.17,+983.33,+54.55,+170.00,+72.73,86.84 ,28.21 ,92.86 ,145.43 
Oceania,"63,176","50,319","57,642","66,954","58,158","66,479","71,618","60,710","64,779","67,404","67,431","83,509","778,179",Oceania,"3,806","4,971","8,925","18,188","20,354","28,875","39,779","35,676","41,186","48,276","49,532","68,216","367,784",Oceania,"+1,559.91",+912.25,+545.85,+268.12,+185.73,+130.23,+80.04,+70.17,+57.28,39.62 ,36.14 ,22.42 ,111.59 
Australia,"57,315","45,107","51,746","59,122","51,069","58,411","62,352","52,796","57,073","59,446","59,684","73,624","687,745",Australia,"3,547","4,633","8,169","16,823","18,447","26,269","35,786","31,680","37,194","42,931","43,976","61,142","330,597",Australia,"+1,515.87",+873.60,+533.44,+251.44,+176.84,+122.36,+74.24,+66.65,+53.45,38.47 ,35.72 ,20.41 ,108.03 
New Zealand,"5,558","4,946","5,584","7,476","6,690","7,733","8,938","7,508","7,204","7,535","7,340","9,385","85,897",New Zealand,237,304,695,"1,280","1,761","2,422","3,794","3,783","3,759","5,019","5,221","6,733","35,008",New Zealand,"+2,245.15","+1,526.97",+703.45,+484.06,+279.90,+219.28,+135.58,+98.47,+91.65,50.13 ,40.59 ,39.39 ,145.36 
  Other in Oceania,303,266,312,356,399,335,328,406,502,423,407,500,"4,537",Other in Oceania,22,34,61,85,146,184,199,213,233,326,335,341,"2,179",Other in Oceania,"+1,277.27",+682.35,+411.48,+318.82,+173.29,+82.07,+64.82,+90.61,+115.45,29.75 ,21.49 ,46.63 ,108.21 
Europe,"705,869","684,551","614,862","430,530","281,416","264,803","386,750","377,847","308,405","430,354","660,728","816,116","5,962,231",Europe,"93,335","99,527","104,002","122,163","100,262","123,784","207,110","216,431","197,175","295,687","458,113","623,487","2,641,076",Europe,+656.27,+587.80,+491.20,+252.42,+180.68,+113.92,+86.74,+74.58,+56.41,45.54 ,44.23 ,30.90 ,125.75 
Northern Europe,"158,894","148,123","137,951","97,361","67,717","78,828","93,342","72,840","62,553","91,577","134,633","198,834","1,342,653",Northern Europe,"24,061","24,823","32,076","43,355","32,156","45,285","62,649","51,722","50,210","77,100","106,517","161,440","711,394",Northern Europe,+560.38,+496.72,+330.08,+124.57,+110.59,+74.07,+48.99,+40.83,+24.58,18.78 ,26.40 ,23.16 ,88.74 
Denmark,"18,539","18,726","13,522","5,902","4,041","4,821","8,278","3,640","4,605","7,605","11,307","14,238","115,224",Denmark,"3,830","3,410","3,714","4,559","2,244","3,367","7,185","3,192","3,938","6,992","9,125","11,402","62,958",Denmark,+384.05,+449.15,+264.08,+29.46,+80.08,+43.18,+15.21,+14.04,+16.94,8.77 ,23.91 ,24.87 ,83.02 
Finland,"14,304","12,518","8,968","2,694","2,191","2,632","1,795","1,344","2,108","3,689","9,747","14,203","76,193",Finland,"2,763","2,501","1,822","1,239","1,112","1,923","1,078","1,124","2,099","3,021","7,577","11,389","37,648",Finland,+417.70,+400.52,+392.21,+117.43,+97.03,+36.87,+66.51,+19.57,+0.43,22.11 ,28.64 ,24.71 ,102.38 
Iceland,403,399,361,210,285,300,233,151,184,257,341,"1,043","4,167",Iceland,86,85,111,107,110,230,200,117,138,211,334,653,"2,382",Iceland,+368.60,+369.41,+225.23,+96.26,+159.09,+30.43,+16.50,+29.06,+33.33,21.80 ,2.10 ,59.72 ,74.94 
Ireland,"5,950","4,641","5,474","4,535","4,548","7,042","7,608","4,710","4,215","5,222","5,900","7,793","67,638",Ireland,591,676,"1,332","1,829","1,819","2,954","4,295","3,047","3,027","4,192","4,437","5,849","34,048",Ireland,+906.77,+586.54,+310.96,+147.95,+150.03,+138.39,+77.14,+54.58,+39.25,24.57 ,32.97 ,33.24 ,98.65 
Norway,"11,911","11,034","8,006","4,059","2,750","6,853","8,491","2,356","3,074","4,398","7,824","13,196","83,952",Norway,"1,551","1,689","1,900","2,570","1,566","4,561","5,430","2,225","2,885","4,342","5,872","10,583","45,174",Norway,+667.96,+553.29,+321.37,+57.94,+75.61,+50.25,+56.37,+5.89,+6.55,1.29 ,33.24 ,24.69 ,85.84 
Sweden,"30,972","26,030","19,869","8,321","4,464","8,543","7,065","4,067","4,632","10,003","17,550","36,743","178,259",Sweden,"6,499","4,748","3,830","4,149","2,313","5,219","5,124","2,980","3,893","7,473","14,431","34,192","94,851",Sweden,+376.57,+448.23,+418.77,+100.55,+93.00,+63.69,+37.88,+36.48,+18.98,33.86 ,21.61 ,7.46 ,87.94 
United Kingdom,"76,815","74,775","81,751","71,640","49,438","48,637","59,872","56,572","43,735","60,403","81,964","111,618","817,220",United Kingdom,"8,741","11,714","19,367","28,902","22,992","27,031","39,337","39,037","34,230","50,869","64,741","87,372","434,333",United Kingdom,+778.79,+538.34,+322.11,+147.87,+115.02,+79.93,+52.20,+44.92,+27.77,18.74 ,26.60 ,27.75 ,88.16 
Western Europe,"190,527","210,153","176,790","138,482","99,518","74,811","147,919","125,744","94,547","141,593","203,739","235,025","1,838,848",Western Europe,"25,647","33,496","38,357","47,460","39,021","43,709","95,347","88,853","71,423","108,226","144,047","164,707","900,293",Western Europe,+642.88,+527.40,+360.91,+191.79,+155.04,+71.16,+55.14,+41.52,+32.38,30.83 ,41.44 ,42.69 ,104.25 
Austria,"11,680","11,285","8,841","5,417","3,859","2,774","7,012","5,507","3,952","6,090","9,621","12,668","88,706",Austria,"1,593","1,678","1,675","1,926","1,503","1,498","3,975","3,729","3,127","4,652","6,648","9,516","41,520",Austria,+633.21,+572.53,+427.82,+181.26,+156.75,+85.18,+76.40,+47.68,+26.38,30.91 ,44.72 ,33.12 ,113.65 
Belgiun,"7,678","8,361","6,569","5,614","4,539","3,988","10,581","5,868","5,346","7,393","9,761","9,814","85,512",Belgiun,"1,236","1,359","1,711","2,363","2,011","2,582","7,370","4,490","4,240","5,821","7,046","6,792","47,021",Belgiun,+521.20,+515.23,+283.93,+137.58,+125.71,+54.45,+43.57,+30.69,+26.08,27.01 ,38.53 ,44.49 ,81.86 
France,"59,925","75,188","50,019","40,724","28,999","22,773","42,237","42,118","23,190","40,577","55,828","63,425","545,003",France,"6,666","12,140","12,250","13,711","12,375","12,278","27,644","29,600","17,346","30,951","39,727","45,535","260,223",France,+798.96,+519.34,+308.32,+197.02,+134.34,+85.48,+52.79,+42.29,+33.69,31.10 ,40.53 ,39.29 ,109.44 
Germany,"73,045","80,284","81,511","55,029","41,418","28,042","38,117","44,257","40,494","58,174","87,850","100,942","729,163",Germany,"11,323","13,310","16,804","19,380","15,074","18,481","25,976","32,735","31,272","44,489","60,719","67,326","356,889",Germany,+545.10,+503.19,+385.07,+183.95,+174.76,+51.73,+46.74,+35.20,+29.49,30.76 ,44.68 ,49.93 ,104.31 
Luxembourg,348,433,414,484,224,190,300,549,220,248,544,634,"4,588",Luxembourg,35,71,109,202,94,120,265,444,173,229,365,460,"2,567",Luxembourg,+894.29,+509.86,+279.82,+139.60,+138.30,+58.33,+13.21,+23.65,+27.17,8.30 ,49.04 ,37.83 ,78.73 
