,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนนักท่องเที่ยว ปี 2567P,,,,,,,,,,,,,,,,,,,,,,,,,,,%การเปลี่ยนแปลง,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"17,959,432",,,,,,,,,,,,,,
Country of,2024p,,,,,,,,,,,,,2023p,,,,,,,,,,,,,Country of,%CHANG,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec)
Asia and the Pacific,"1,955,313","2,319,923","2,063,087","2,069,461","2,137,118","2,197,566","2,369,020","2,304,928","2,013,906","1,952,024","2,075,472","2,362,800","25,820,618","1,281,532","1,277,199","1,506,054","1,615,515","1,595,745","1,805,515","1,884,948","1,918,315","1,687,354","1,613,854","1,773,401","2,218,326","20,177,758",Asia and the Pacific,+52.58,+81.64,+36.99,+28.10,+33.93,+21.71,+25.68,+20.15,+19.35,+20.95,+17.03,+6.51,+27.97
South-East Asia,"735,661","944,998","817,836","859,777","944,514","980,085","967,013","883,873","887,356","825,721","837,314","976,631","10,660,779","664,990","631,430","746,297","793,741","805,437","912,273","852,955","910,185","822,499","766,137","853,406","1,062,930","9,822,280",South-East Asia,+10.63,+49.66,+9.59,+8.32,+17.27,+7.43,+13.37,-2.89,+7.89,+7.78,-1.89,-8.12,+8.54
Brunei,"1,142","1,328",996,"1,063","1,155","1,246","1,339","1,921","1,025","1,294","1,409","2,270","16,188",748,848,754,935,"1,065","1,005","1,198","1,551",988,984,"1,426","2,632","14,134",Brunei,+52.67,+56.60,+32.10,+13.69,+8.45,+23.98,+11.77,+23.86,+3.74,+31.50,-1.19,-13.75,+14.53
Cambodia,"47,963","45,404","46,499","42,732","46,384","47,125","49,135","46,242","43,436","43,590","45,367","49,183","553,060","46,235","41,791","45,202","45,687","51,160","47,414","47,878","56,265","48,352","47,590","52,138","53,996","583,708",Cambodia,+3.74,+8.65,+2.87,-6.47,-9.34,-0.61,+2.63,-17.81,-10.17,-8.41,-12.99,-8.91,-5.25
Indonesia,"70,785","77,579","63,162","74,499","75,162","80,154","74,541","66,911","65,857","66,816","74,591","86,553","876,610","45,410","46,915","53,067","63,952","62,203","72,061","71,526","63,152","65,709","64,554","71,481","82,088","762,118",Indonesia,+55.88,+65.36,+19.02,+16.49,+20.83,+11.23,+4.22,+5.95,+0.23,+3.50,+4.35,+5.44,+15.02
Laos,"102,319","100,613","105,165","95,010","104,273","111,412","118,503","82,791","79,490","67,865","85,555","71,206","1,124,202","85,353","56,042","58,222","67,930","77,328","78,382","83,014","84,275","78,996","82,985","78,147","88,727","919,401",Laos,+19.88,+79.53,+80.63,+39.86,+34.85,+42.14,+42.75,-1.76,+0.63,-18.22,+9.48,-19.75,+22.28
Malaysia,"321,704","501,120","345,750","401,282","442,550","423,554","427,863","405,752","472,899","402,575","354,892","452,137","4,952,078","288,745","305,367","362,070","401,394","373,922","408,356","371,200","438,556","388,197","348,403","392,969","547,243","4,626,422",Malaysia,+11.41,+64.10,-4.51,-0.03,+18.35,+3.72,+15.26,-7.48,+21.82,+15.55,-9.69,-17.38,+7.04
Myanmar,"35,742","39,616","51,358","56,698","47,830","43,701","44,547","41,702","38,354","43,317","43,725","60,039","546,629","30,764","22,405","27,478","33,737","32,369","33,063","34,698","32,666","32,124","34,579","34,206","46,045","394,134",Myanmar,+16.18,+76.82,+86.91,+68.06,+47.76,+32.17,+28.38,+27.66,+19.39,+25.27,+27.83,+30.39,+38.69
